# name	objID	ra	dec	type	cModelMag_u	cModelMag_g	cModelMag_r	cModelMag_i	cModelMag_z	fracDeV_u	fracDeV_g	fracDeV_r	fracDeV_i	fracDeV_z	extinction_u	extinction_g	extinction_r	extinction_i	extinction_z
7443-12701	1.23766250107575E+018	230.50745707	43.53232863	GALAXY	17.087011	15.470955	14.874091	14.556558	14.330127	1	1	1	1	1	0.120546	0.088697	0.06433	0.04878	0.034585
7444-12701	1.23766522623132E+018	183.93489121	32.07177305	STAR	17.703823	16.800797	16.447424	16.307583	16.282713	0	0	1	1	1	0.060643	0.04462	0.032362	0.024539	0.017399
7495-12701	1.2376673232647E+018	204.57952188	26.19845738	GALAXY	18.251835	16.436588	15.697565	15.356338	15.177068	1	1	1	1	1	0.053687	0.039502	0.02865	0.021725	0.015403
7815-12701	1.23765300919462E+018	318.02637697	11.34536404	GALAXY	18.005547	16.808643	16.261065	16.028486	15.866681	0	0	0	0	0	0.518783	0.381715	0.276852	0.209928	0.148842
8115-12701	1.2376712617347E+018	131.33776032	10.99688234	STAR	16.996216	15.426991	14.979666	15.54794	14.776567	1	1	1	1	0	0.273451	0.201203	0.145929	0.110654	0.078455
8112-12701	1.23766850328619E+018	226.721815	66.31861231	STAR	15.743421	14.435221	14.001389	13.872087	13.857059	0	0	1	0	0	0.130804	0.096244	0.069804	0.052931	0.037528
8120-12701	1.23767126120825E+018	155.40729281	15.26915102	STAR	15.358628	16.029451	14.15247	13.745781	13.747607	0.04111	1	0.919474	0.374632	1	0.279348	0.205542	0.149076	0.11304	0.080147
8098-12701	1.23766219506575E+018	192.24811716	42.61968601	STAR	18.727345	17.649446	17.63607	17.663721	17.730074	1	0	1	0	0	0.099727	0.073378	0.05322	0.040355	0.028612
8266-12701	1.23767199134253E+018	206.13122743	-0.84817866	STAR	16.902502	15.769492	15.34716	15.200431	15.156744	0	0	0	0	0	0.122925	0.090447	0.0656	0.049742	0.035268
8116-12701	1.2376712617347E+018	131.33776032	10.99688234	STAR	16.996216	15.426991	14.979666	15.54794	14.776567	1	1	1	1	0	0.273451	0.201203	0.145929	0.110654	0.078455
8269-12701	1.23766181548628E+018	191.87398324	11.18255724	STAR	16.997465	15.841927	15.454576	15.315825	15.287053	0	0	0	0	0	0.184793	0.135969	0.098616	0.074778	0.053018
8264-12701	1.2376621939922E+018	192.86755089	41.60216934	STAR	15.114452	13.981757	13.684001	13.588734	13.573039	0	1	0.838915	0	0	0.055804	0.04106	0.02978	0.022581	0.01601
8341-12701	1.23766136075715E+018	189.03201289	46.64334633	GALAXY	17.497662	16.131413	15.599206	15.351518	15.090702	0	0	0	0	0	0.112984	0.083133	0.060295	0.04572	0.032416
8329-12701	1.23766136183842E+018	213.4168047	43.86659408	GALAXY	16.077982	14.339993	13.795448	13.425412	13.123262	0.1386	0.373081	0.461066	0.536128	0.6612	0.077561	0.057068	0.041391	0.031385	0.022253
8319-12701	1.2376614353864E+018	199.60876242	47.22322889	GALAXY	17.260899	15.478114	14.635663	14.24822	14.12509	1	1	1	1	1	0.084228	0.061974	0.044949	0.034083	0.024166
8243-12701	1.23765127242416E+018	128.68762983	52.7157437	GALAXY	16.442297	14.70675	13.95859	13.530064	13.095188	0.076182	0.307469	0.451369	0.516376	0.66323	0.195903	0.144143	0.104545	0.079273	0.056206
8439-12701	1.23765763272527E+018	143.00993616	48.551247	GALAXY	17.383591	16.233612	15.807564	15.70949	15.46998	0.030088	0.074769	0.129013	0	0.137949	0.086039	0.063306	0.045915	0.034816	0.024685
8326-12701	1.2376582055934E+018	213.14915812	47.25305742	GALAXY	16.531971	15.075899	14.467761	13.989767	13.527414	0.345723	0.530632	0.62799	0.749219	0.949391	0.075266	0.05538	0.040166	0.030457	0.021594
8117-12701	1.23766721158454E+018	138.28006815	21.61295709	STAR	17.380125	15.953187	15.462646	15.281117	15.224407	1	0	0.860977	1	0.960485	0.241985	0.17805	0.129137	0.097921	0.069427
8602-12701	1.23765933085203E+018	247.0481931	39.82190772	GALAXY	16.640032	14.24962	13.45019	13.066404	12.881303	1	1	1	1	1	0.048464	0.035659	0.025863	0.019611	0.013904
